epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,21157.9,0.84187,0.78725,1.21163,0.8334,0.71526,0.79528,0.59851,0.96298,5.33868,1.07177,0.0004654,0.0004654,0.0004654
83,21404.3,0.83166,0.7761,1.20255,0.82941,0.71832,0.79495,0.59895,0.96138,5.38324,1.06984,0.0004588,0.0004588,0.0004588
84,21653.1,0.83375,0.77453,1.20143,0.82316,0.72239,0.79517,0.59896,0.96123,5.36011,1.07026,0.0004522,0.0004522,0.0004522
85,21899.9,0.83344,0.77231,1.21106,0.82615,0.71961,0.7945,0.59843,0.96087,5.35397,1.06923,0.0004456,0.0004456,0.0004456
86,22146.7,0.83034,0.77228,1.20383,0.82939,0.71751,0.795,0.59877,0.96022,5.33215,1.06848,0.000439,0.000439,0.000439
87,22395,0.8251,0.7578,1.20114,0.83125,0.7164,0.79505,0.59916,0.95899,5.33743,1.06778,0.0004324,0.0004324,0.0004324
88,22641.9,0.82919,0.76264,1.19856,0.82931,0.71787,0.79493,0.59915,0.95853,5.34947,1.06679,0.0004258,0.0004258,0.0004258
89,22888.8,0.82133,0.75912,1.19687,0.83435,0.71576,0.79462,0.59982,0.95836,5.37972,1.06675,0.0004192,0.0004192,0.0004192
90,23135.5,0.82008,0.75653,1.19916,0.83501,0.71553,0.79497,0.60002,0.95786,5.39623,1.06693,0.0004126,0.0004126,0.0004126
91,23383.2,0.80749,0.74405,1.18803,0.83414,0.71591,0.79441,0.60022,0.95737,5.37992,1.06636,0.000406,0.000406,0.000406
92,23629.7,0.81571,0.73905,1.19237,0.82976,0.71909,0.79469,0.59931,0.95756,5.41616,1.06602,0.0003994,0.0003994,0.0003994
93,23876.4,0.82526,0.75484,1.19586,0.83057,0.71959,0.79548,0.60043,0.95587,5.36772,1.06456,0.0003928,0.0003928,0.0003928
94,24123.3,0.81041,0.732,1.18831,0.8262,0.72013,0.79541,0.60031,0.95415,5.3789,1.06316,0.0003862,0.0003862,0.0003862
95,24370.8,0.8109,0.73333,1.18317,0.82502,0.72171,0.79518,0.60047,0.95403,5.36596,1.06372,0.0003796,0.0003796,0.0003796
96,24617.5,0.79659,0.72855,1.18466,0.82391,0.72487,0.79573,0.60017,0.95396,5.37201,1.06336,0.000373,0.000373,0.000373
97,24864.3,0.81161,0.7429,1.1855,0.82345,0.72833,0.79672,0.60107,0.95322,5.33697,1.06294,0.0003664,0.0003664,0.0003664
98,25112.3,0.80173,0.72459,1.18172,0.825,0.72716,0.79662,0.60168,0.9522,5.3255,1.06233,0.0003598,0.0003598,0.0003598
99,25359.3,0.79922,0.72308,1.1792,0.82587,0.72842,0.79661,0.60259,0.95159,5.32381,1.06176,0.0003532,0.0003532,0.0003532
100,25605.5,0.78564,0.70884,1.17461,0.82786,0.72776,0.79671,0.60281,0.95061,5.3095,1.06119,0.0003466,0.0003466,0.0003466
101,25852.1,0.78819,0.71079,1.17636,0.82767,0.72723,0.79693,0.60321,0.94975,5.29123,1.06054,0.00034,0.00034,0.00034
102,26099.7,0.79431,0.71725,1.17696,0.82776,0.72788,0.79679,0.60344,0.94987,5.2711,1.06051,0.0003334,0.0003334,0.0003334
103,26346.4,0.78386,0.71163,1.17525,0.82679,0.72771,0.79726,0.60344,0.95173,5.18693,1.06258,0.0003268,0.0003268,0.0003268
104,26592.8,0.78243,0.70386,1.16857,0.82695,0.7281,0.79716,0.60359,0.95166,5.17051,1.06266,0.0003202,0.0003202,0.0003202
105,26839.8,0.77462,0.68929,1.16471,0.82712,0.72973,0.79709,0.60383,0.94971,5.22241,1.06071,0.0003136,0.0003136,0.0003136
106,27087.3,0.7847,0.70586,1.17082,0.82506,0.72953,0.7972,0.60438,0.9496,5.21855,1.06022,0.000307,0.000307,0.000307
107,27333.7,0.78755,0.71227,1.17251,0.82682,0.72701,0.7972,0.60425,0.95,5.20447,1.06044,0.0003004,0.0003004,0.0003004
108,27580,0.77199,0.689,1.16589,0.82908,0.72647,0.7977,0.60477,0.9503,5.19222,1.06072,0.0002938,0.0002938,0.0002938
109,27827.5,0.77375,0.69639,1.16471,0.82635,0.7268,0.79768,0.60474,0.95033,5.18004,1.06026,0.0002872,0.0002872,0.0002872
110,28074.6,0.76872,0.68343,1.16232,0.82484,0.72656,0.79798,0.60489,0.94944,5.17182,1.05961,0.0002806,0.0002806,0.0002806
111,28321.3,0.76116,0.6782,1.15961,0.82658,0.72698,0.7982,0.60541,0.94931,5.14504,1.05963,0.000274,0.000274,0.000274
112,28567.9,0.7798,0.70145,1.16382,0.82797,0.72723,0.79765,0.60566,0.94954,5.13123,1.05972,0.0002674,0.0002674,0.0002674
113,28817,0.77077,0.68678,1.15771,0.82706,0.72794,0.79834,0.60529,0.94982,5.11683,1.05949,0.0002608,0.0002608,0.0002608
114,29063.7,0.765,0.6752,1.15148,0.82855,0.72598,0.7984,0.60536,0.94955,5.1116,1.05923,0.0002542,0.0002542,0.0002542
115,29310.5,0.74812,0.66666,1.1492,0.82684,0.7254,0.79785,0.60558,0.95025,5.11227,1.05969,0.0002476,0.0002476,0.0002476
116,29557.9,0.75787,0.67088,1.15199,0.8252,0.72544,0.79834,0.60584,0.95039,5.1063,1.06014,0.000241,0.000241,0.000241
117,29805.1,0.74966,0.66154,1.1475,0.82639,0.72522,0.79822,0.60572,0.95058,5.09651,1.06037,0.0002344,0.0002344,0.0002344
118,30051.5,0.75591,0.67106,1.1516,0.83074,0.72062,0.79817,0.60599,0.95049,5.09416,1.05979,0.0002278,0.0002278,0.0002278
119,30298,0.74836,0.66185,1.14931,0.83016,0.71982,0.79855,0.60614,0.95059,5.086,1.05954,0.0002212,0.0002212,0.0002212
120,30545.4,0.7503,0.66819,1.15194,0.8295,0.7223,0.79856,0.60633,0.94992,5.07473,1.05921,0.0002146,0.0002146,0.0002146
121,30792,0.75706,0.66894,1.15239,0.82967,0.72071,0.79849,0.60593,0.94942,5.07533,1.05877,0.000208,0.000208,0.000208
122,31038.7,0.75392,0.664,1.14664,0.83071,0.72083,0.79874,0.60588,0.9488,5.07861,1.05837,0.0002014,0.0002014,0.0002014
123,31285.4,0.7474,0.65641,1.14483,0.83115,0.71967,0.79811,0.60627,0.94835,5.07848,1.05805,0.0001948,0.0001948,0.0001948
124,31532.7,0.74176,0.65485,1.14812,0.83134,0.71874,0.79836,0.60615,0.94755,5.07439,1.05779,0.0001882,0.0001882,0.0001882
125,31779.2,0.74455,0.65554,1.14175,0.8305,0.71864,0.79852,0.60639,0.94665,5.07124,1.05712,0.0001816,0.0001816,0.0001816
126,32025.6,0.73449,0.64377,1.13946,0.82782,0.7214,0.79845,0.60607,0.94592,5.07847,1.05646,0.000175,0.000175,0.000175
127,32273.5,0.73707,0.64653,1.13848,0.83293,0.71897,0.7988,0.6063,0.94513,5.08063,1.0561,0.0001684,0.0001684,0.0001684
128,32520.4,0.74443,0.64848,1.14511,0.83281,0.71755,0.79899,0.60667,0.94495,5.08321,1.05559,0.0001618,0.0001618,0.0001618
129,32766.8,0.73831,0.6382,1.14406,0.83505,0.71682,0.7984,0.60674,0.94482,5.07835,1.05537,0.0001552,0.0001552,0.0001552
130,33013.2,0.72171,0.63446,1.13513,0.83226,0.71744,0.79867,0.60662,0.94433,5.07502,1.05526,0.0001486,0.0001486,0.0001486
