epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,8446.19,1.48557,2.02842,1.58138,0.5569,0.32029,0.33037,0.19023,0.99004,15.5572,0.99565,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8606.61,1.46036,2.07013,1.54905,0.55888,0.31704,0.32408,0.18495,0.98993,16.0714,0.99787,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8768.1,1.49419,2.04897,1.5885,0.51168,0.31156,0.31405,0.17697,0.99111,12.6606,0.98019,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8929.02,1.50763,2.04923,1.58102,0.5163,0.32087,0.31827,0.17953,0.97753,14.0343,0.97243,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9089.2,1.5124,2.00685,1.58558,0.55266,0.32146,0.32833,0.18535,0.98983,13.97,0.99185,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9249.8,1.45649,2.06609,1.5514,0.5098,0.33241,0.31382,0.17895,0.99685,14.9723,0.98586,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9413.12,1.44828,1.94522,1.535,0.53371,0.32426,0.32182,0.18417,0.97895,15.0411,0.97481,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9573.29,1.46004,1.95138,1.54196,0.54309,0.31982,0.32979,0.19076,1.00118,15.4797,0.97469,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9734.2,1.47184,1.93645,1.55315,0.46462,0.33659,0.31717,0.17799,0.99172,14.926,0.97882,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9894.93,1.47187,1.94238,1.55711,0.52347,0.33293,0.34752,0.19739,0.99435,15.0607,0.98069,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
